Name
Zaravoni
Plutarch
Rajačić family
"Georges, de Bruxelles, active 15th century-16th century"
"Charles II, King of England, 1630-1685"
"Julius II, Pope, 1443-1513"
"Gregory XIII, Pope, 1502-1585"
"Gregory XIV, Pope, 1535-1591"
"Zell, Ulrich, -1503"
Hansi
Earls of Cork
Earls of Lonsdale
Earls of Malmesbury
Earls of Orrery
Earls of Suffolk
"Cooper, James Fenimore, 1789-1851"
"Drake, Francis"
"Drake, François"
Eugen Graf Braida von Ronsecco und Cornigliano
Isaac Haldeman
Isaac Prutherch
"Joaristi, Celestino"
"Lea, Henry Charles, 1825-1909"
"St. John, Francis, 1634-1705"
Sweden. Sovereign (1720-1751 : Fredrik I)
Francisci Ursii civis Pisani
Kenneway family
Bagot family
Cowper family
Della Rovere family
Dering family
Dopheide family
Dukes of Arenberg
Earls of Rosslyn
Eytner Family
Famiglia Morosini del Pestrino
Familienverband Dopheide
Fini Pola family
Fitzwilliam family
Goertz family
Harvey family
Lowther family
Mason family
Medici family
Muhlenberg family
Petre family
Pfau family
Poore family
Rajacsich family
Rajačić family
Salt family
Terzi family
Thorold family
von Erlach family
Watson Family
Ferdinandeum
"R. Stanes, Bookseller &amp; Stationer"
"Fredrik I, King of Sweden, 1676-1751"
"Zeyss, Joannes"
"Zigelius, Joannes"
"Ziletti, Francesco, d. 1587?"
"Ziletti, Giordano, 16th cent."
"Zipoli, Silvio"
"Zoppini, Agostino, fl. 1553-1600"
"Zoppini, Fabio e Agostino, 1580-1592"
"Zoppini, Fabio, fl. 1553-1598"
"Zorzi, Bartolomeo"
"Zuccardi, C."
Suffolk
"Caesar, Julius"
"Caesar, Julius‏"
"Calvin, Jean, 1509-1564"
"Caracciolo, Francis, Saint"
"Charles II, King of France, 823-877"
Cleopatra VII
"Cleopatra, Queen of Egypt, d. 30 B.C."
"Francis Xavier, Saint, 1506-1552"
"Francis, of Assisi, Saint, 1182-1226"
"Gregory I, Pope, approximately 540-604"
"Gregory I, Pope, ca. 540-604"
Jesus Christ
"John, the Apostle, Saint"
"John, the Baptist, Saint"
Judith (Jewish heroine)
"Luke, Saint"
"Mark, Saint"
"Mary, Blessed Virgin, Saint"
Moses
St. Agnes
St. Benedict
St. John the Evangelist
"Cranach, Hans, d. 1537"
"Cranach, Lucas, 1472-1553"
"Dürer, Albrecht, 1471-1528"
Alfani family
Barberini Family
Theatines
Academia Julia Carolina
Benedicitines
Benedictines
Accademia nazionale dei Lincei. Biblioteca
Antigua Librería Babra
Archiv der Hansestadt Rostock
Ashendene Press
Augustinerchorherren-Stift Polling
Augustinian Recollects
Augustinians
Austria. Bundesdenkmalamt
Austria. Nationalbibliothek
B.H. Blackwell Ltd.
Balliol College
Balmerino Abbey
Bibliot. Cruc. Venet.
Bibliot. S. Silvest.
Biblioteca Albani
Biblioteca altempsiana
Biblioteca Apostolica Vaticana
Biblioteca Banzi
Biblioteca Bardi-Serzelli
Biblioteca comunale Magnani
Biblioteca de Salvá
Biblioteca Giuliari
Biblioteca Magnani
Biblioteca medicea laurenziana
Biblioteca muicipale Magnani
Biblioteca nazionale marciana
Biblioteca Raineri-Biscia
Biblioteca Riccardiana
Biblioteca Rosales
Biblioteca trivulziana‏
Bibliotheca Admontensis
Bibliotheca Aulica Eystettensis
Bibliotheca Blaydesiana
Bibliotheca Colbertina
Bibliotheca Collegii Oeniponti Societatis Jesu
Bibliotheca Heberiana
Bibliotheca Horavitiana
Bibliotheca Lindesiana
Bibliotheca Ministerii Cellensis
Bibliotheca Pagni
Bibliotheca Phillippica
Bibliotheca S. Catharinae
Bibliotheck St. St. Joanneum
Bibliotheck St. Stephaneums
Bibliothek des Repetenten-Stifts
Bibliothek Oberherrlingen
Bibliothèque Legentil
Bickers &amp; Son
Bouchard Libraire
Brandes sale
Brasenose College (University of Oxford)‏
Bridgettines
British Library
British Museum
Britwell Court Library
Buch- und Kunstantiquariat Robert Woelfle
Buch- und Kunstantiquariat Robert Wölfle
Buxheim Charterhouse
C.J. Stewart (Firm)
Camaldolese
Canonici Regulares Lateranenses
Canons Regular of the Lateran
Capuchins
Carmelitani scalzi di S. Maria della Scala
Carmelites
Carthusians
Cartusiae Buxheim
Casa Fini Pola
Castro Durantis
Catholic Church. Diocese of Leeds (England)
Cathédrale Saint-Lazare d'Autun
Cercle militaire de Bordeaux
Chillingham Castle
Christian Doctrine Fathers
Cistercians
Clerici Regulares Pauperum Matris Dei Scholarum Piarum
Clerics Regular Minor
Coll. Rom. Societ. Jesu cat. inscrip.
Collection et Bibliothèque Paul Combes fils
College of Physicians of Philadelphia. Library
Collegii Neophyt. Rom.
Collegij Neophyt. Rom.
Collegio Anglorum Audomari
Collegio dei gesuiti di Pistoia
Collegio dei nobili di Napoli
Collegio del S.S. Rosario
Collegio di Gesuiti di Perugia
Collegio di S. Paolo e Barnaba di Milano
Collegio romano
Collegium Commotoviensis Societatis Jesu
Collegium Monacense Societatis Jesu
Collegium Neophytorum Romae
Collegium Parisiense Societatis Jesu‏
Collegium Theologicum Repetentium
Congreg. Orat. Genuae
Congregatio Patrum Doctrinae Christianae
Congregation of Priests of the Mission
Convento di Sant'Agnese
Conventus Augustani FF. Praedicatorum
Conventus S. Agnetis
Conventus Sancti Antonii Pacciani Veteris
Dawson's Book Shop
Discalced Augustinians
Discalced Carmelite inscriptions
Domenico &amp; Giovanni Battista Guerra (Firm)
Dominicans
Dorotheastift
Dottrinari
Edmundites
English College
Everdon Rectory
Forschungs- und Landesbibliothek Gotha
Franciscains de la Province Saint-Joseph du Canada
franciscan
Franciscan Recollects
Franciscans
Franciscans. Province Saint-Joseph du Canada
Franziskanerkloster
Franziskanerkloster Bozen
Franziskanerkloster St. Anna
Fuerstlich-Starhemberg'sche Familien Bibliothek Schloss Eferding
Fundationis Baldauficae
Fyens Stiftsbibliothek
Fürstlich Stolberg-Wernigerodesche Bibliothek
Fürstlich Thurn und Taxissche Hofbibliothek
Fürstlich-Leiningensche Bibliothek
Fürstlich-Leiningische Bibliothek
Fürstlich-Starhemberg'sche Familien Bibliothek Schloss Eferding
Fürstpropstei Ellwangen
Gaddesden Library
Galwey &amp; Co.
Gräflich von Mirbach'sche Fidei Commissum Bibliothek zu Harff
Hamilton Palace Libraries
Hareston Library
Harrow School
Harvard College Library
Hatchards
Hatchards (Firm)
Hatchards (Firm)‏
Henry Young (Firm)
Herzoglicher S. Meiningischer Bibliothek
Herzogliches Lyceum
Hessische Landesbibliothek Wiesbaden
Hochschule für Philosophie München
Hofbibliothek
Holy Roman Empire
Hurn Court
Hurn Court Library
Huth Library
Jacobins
Jagiellonian University
Jesuitenkolleg
Jesuitenkolleg Burghausen
Jesuits
Jesutis
John Penington &amp; Son
Kantonsbibliothek Solothurn
Kapuzinerkloster Burghausen
